# Sample, end sample (0 for same), instrument, note, difficulty
706, 0, horn, a, 0  #Honk
25120.5, 0, horn, d, 3
25677.0, 0, horn, a, 2
26243.5, 0, horn, d, 3
26810.0, 0, horn, a, 2
27356.5, 0, horn, d, 3
27903.0, 0, horn, a, 2
28449.5, 0, horn, d, 3
28996.0, 0, horn, q, 2
29542.5, 0, horn, e, 3
30089.0, 0, horn, q, 2
30635.5, 500, horn, e, 3

#Repeat that bit
#Next passage, slightly higher
31241.0, 0, strings, 2, 0
31514.5, 0, strings, 3, 2
31788.0, 0, strings, 4, 1
32061.5, 0, strings, 5, 2
32335.0, 0, strings, 6, 0
32612.0, 0, strings, 4, 2
32889.0, 0, strings, 6, 1
#gap
33443.0, 0, strings, 6, 0
33721.25, 0, strings, 4, 2
33999.5, 0, strings, 6, 1
#gap
34556.0, 0, strings, 6, 0
34839.25, 0, strings, 4, 2
35122.5, 0, strings, 6, 1
#gap
35689.0, 0, strings, 2, 0
35962.25, 0, strings, 3, 2
36235.5, 0, strings, 4, 1
36508.75, 0, strings, 5, 2
36782.0, 0, strings, 6, 0
37055.25, 0, strings, 4, 2
37328.5, 0, strings, 6, 1
#gap
37875.0, 0, strings, 6, 0
38148.25, 0, strings, 4, 2
38421.5, 0, strings, 6, 1
#gap
38968.0, 500, strings, 3, 0

# Horns for the same first part
22139.0, 0, horn, a, 0
22725.5, 0, horn, d, 1
23312.0, 0, horn, a, 0
23888.5, 0, horn, d, 1
24465.0, 0, horn, a, 0
25030.5, 0, horn, d, 1
25596.0, 0, horn, a, 0
26172.5, 0, horn, d, 1
26749.0, 0, horn, a, 0
27322.0, 0, horn, d, 1
27895.0, 0, horn, a, 0
28443.5, 0, horn, d, 1
28992.0, 0, horn, q, 0
29561.5, 0, horn, e, 1
30131.0, 0, horn, q, 0
30700.5, 0, horn, e, 1

31241.0, 0, horn, a, 2
31788.0, 0, horn, d, 3
32335.0, 0, horn, a, 2
32889.0, 0, horn, d, 3
33443.0, 0, horn, a, 2
33999.5, 0, horn, d, 3
34556.0, 0, horn, a, 2
35122.5, 0, horn, d, 3
35689.0, 0, horn, a, 2
36235.5, 0, horn, d, 3
36782.0, 0, horn, a, 2
37328.5, 0, horn, d, 3
37875.0, 0, horn, q, 2
38421.5, 0, horn, e, 3
38968.0, 0, horn, q, 2
39514.5, 500, horn, e, 3

#Now start again, but a bit faster
# First part strings
40273.0, 0, strings, 1, 3
40559.212, 0, strings, 2, 3
40845.424, 0, strings, 3, 3
41131.636, 0, strings, 4, 3
41417.848, 0, strings, 5, 3
41699.18, 0, strings, 3, 3
41980.512, 0, strings, 5, 3
#gap
42543.176, 0, strings, 5, 3
42819.14, 0, strings, 3, 3
43095.104, 0, strings, 5, 3
#gap
43647.032, 0, strings, 5, 3
43928.364, 0, strings, 3, 3
44209.696, 0, strings, 5, 3
#gap
44772.36, 0, strings, 1, 3
45051.984, 0, strings, 2, 3
45331.608, 0, strings, 3, 3
45611.232, 0, strings, 4, 3
45890.856, 0, strings, 5, 3
46158.524, 0, strings, 3, 3
46426.192, 0, strings, 5, 3
46693.86, 0, strings, 5, 3
46961.528, 0, strings, 3, 3
47239.444, 0, strings, 5, 3
47517.36, 0, strings, 5, 3
47795.276, 0, strings, 3, 3
48073.192, 500, strings, 5, 3

# Horns for the same first part
40273.0, 0, horn, a, 0
40845.424, 0, horn, d, 1
41417.848, 0, horn, a, 0
41980.512, 0, horn, d, 1
42543.176, 0, horn, a, 0
43095.104, 0, horn, d, 1
43647.032, 0, horn, a, 0
44209.696, 0, horn, d, 1
44772.36, 0, horn, a, 0
45331.608, 0, horn, d, 1
45890.856, 0, horn, a, 0
46426.192, 0, horn, d, 1
46961.528, 0, horn, q, 0
47517.36, 0, horn, e, 1
48073.192, 0, horn, q, 0
48629.024, 0, horn, e, 1
